title,Puntuacion,Precio,Pais,Puntos_por_Euro
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),100,350.0,Australia,0.2857142857142857
Casa Ferreirinha 2008 Barca-Velha Red (Douro),100,450.0,Portugal,0.2222222222222222
Casa Ferreirinha 2004 Barca Velha Red (Douro),99,426.0,Portugal,0.2323943661971831
Penfolds 2010 Grange Shiraz (South Australia),99,850.0,Australia,0.11647058823529412
Standish 2006 The Relic Shiraz (Barossa Valley),98,135.0,Australia,0.725925925925926
Blandy's 1969 Bual (Madeira),98,230.0,Portugal,0.4260869565217391
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),98,350.0,Australia,0.28
Taylor Fladgate NV 325 Anniversary  (Port),97,40.0,Portugal,2.425
Mouchão 2012 Red (Alentejo),97,75.0,Portugal,1.2933333333333332
Kracher 2013 Trockenbeerenauslese Nummer 5 Zwischen den Seen Scheurebe (Burgenland),97,95.0,Austria,1.0210526315789474
